ePortRxDataGroup_0, ePortRxDataGroup_1, ePortRxDataGroup_2, ePortRxDataGroup_3, ePortRxDataGroup_4, ePortRxDataGroup_5, ePortRxDataGroup_6, ePortRxDataGroup_7, ePortRxDataGroup_8, ePortRxDataGroup_9, ePortRxDataGroup_10, ePortRxDataGroup_11
52871168, 0, 5120, 0, 56626688, 704574, 3456, 0, 56623104, 0, 495135, 71303168
4352, 425984, 0, 52432025, 660992, 78221184, 612224, 54525990, 65011712, 65011712, 69206016, 71303168
528384, 3249, 57118241, 83886103, 97160609, 69768233, 52433953, 75497472, 61227008, 0, 429983, 100663296
393216, 50331648, 65014912, 491520, 4224, 54525952, 28, 0, 25, 62919552, 71696384, 4352
67108864, 0, 442368, 67895322, 52432128, 3328, 0, 71303230, 0, 30, 85986464, 4480
409600, 26, 0, 0, 52428800, 67108900, 60817408, 0, 0, 27, 67670272, 0
27, 507904, 545304, 527388, 491553, 475136, 29, 31, 496152, 0, 29, 462373
0, 52428800, 50331648, 54525952, 0, 3712, 84410368, 507904, 412672, 3200, 57081856, 65015594
409638, 65011712, 0, 0, 5154, 3712, 32, 494848, 73826304, 0, 5120, 0
50809755, 0, 58720295, 3456, 65454113, 480544, 0, 71303168, 69783168, 0, 65011738, 409600
4352, 75497472, 606208, 0, 412928, 0, 52953126, 3968, 36, 3584, 3712, 85987328
3456, 0, 507904, 0, 589824, 425984, 4224, 0, 3968, 37, 0, 0
573440, 34, 464384, 0, 26, 3738, 3968, 397696, 0, 0, 0, 77594624
0, 0, 3456, 0, 3840, 25, 25, 75497472, 3840, 80253606, 61325312, 0
0, 52428800, 3840, 426013, 80252800, 56623104, 543773, 52432812, 0, 528384, 67112219, 57052416
90177536, 62914560, 31, 655360, 3712, 3200, 458752, 3200, 0, 55017504, 79695104, 60817440
4224, 0, 0, 4224, 3612, 75497472, 3364, 0, 491520, 4352, 85987584, 4642
67108864, 35, 25, 0, 59326464, 74268698, 56623104, 65011742, 4256, 69206048, 79691816, 0
376832, 50335360, 5273, 31, 69619584, 57065472, 430208, 32, 67112995, 426024, 30, 409600
0, 0, 4480, 0, 52432000, 25, 75502080, 447744, 52428800, 0, 442405, 85988122
52428800, 4096, 56623131, 445824, 5150, 79691776, 24, 0, 606238, 429211, 61390848, 4224
540672, 0, 90181672, 0, 0, 65437696, 0, 34, 77594653, 0, 409600, 58720285
0, 0, 50334782, 96469027, 720928, 102760448, 0, 0, 59118873, 85983232, 52428826, 69206016
409638, 67108864, 0, 3095, 5153, 659456, 33, 494976, 73826304, 0, 5248, 0
3609, 62918016, 57298086, 69599232, 770085, 0, 0, 78249984, 83886107, 50331648, 475162, 0
0, 56626560, 55197696, 50331648, 786473, 0, 0, 78249984, 85983259, 0, 409627, 25
0, 29, 3200, 0, 61394975, 3200, 71303168, 0, 0, 50335397, 67555744, 101175066
71827456, 50331648, 397312, 540672, 808096, 74207391, 75497472, 84416537, 107724850, 101192960, 82465952, 98571520
37, 71946112, 0, 40, 0, 71303200, 33, 67108864, 3105, 33, 0, 475136
33, 56623104, 393216, 0, 0, 77594624, 60817408, 409600, 0, 0, 4096, 0
0, 3456, 425984, 0, 425984, 33, 0, 0, 0, 26, 69210880, 4901
393216, 3072, 50724864, 0, 57098240, 4224, 65623040, 4352, 5248, 77601024, 69210398, 75497472
85991424, 3840, 0, 79691804, 26, 55234594, 445952, 65016064, 594048, 409600, 32, 4864
0, 4380, 409600, 0, 0, 478464, 60817408, 4001, 0, 29, 35, 63344128
0, 0, 4096, 2971, 82362402, 0, 0, 0, 429855, 430080, 73400345, 557096
430108, 0, 512256, 3840, 0, 57119138, 88658076, 62914585, 62914560, 0, 35, 0
62914586, 0, 0, 0, 0, 53071488, 44, 67108864, 0, 0, 0, 0
0, 5790, 27, 0, 62914560, 77594651, 52428800, 507904, 60817408, 52428800, 524288, 5632
65011712, 0, 0, 0, 57131008, 4224, 71307392, 495872, 0, 59211776, 25, 425984
540672, 0, 0, 92274720, 80139264, 28, 409600, 109527040, 50331683, 62914560, 69632000, 92274720
80286080, 0, 3096, 0, 3228, 3584, 3456, 429440, 3456, 0, 671776, 67108905
48234496, 4224, 62914560, 61243392, 54530176, 61276160, 50331648, 0, 4736, 3840, 69206016, 60817408
0, 0, 0, 3095, 495020, 524288, 425984, 62914560, 24, 458779, 0, 61292578
655360, 393216, 54525952, 3072, 56623104, 58720256, 0, 0, 84677659, 28, 0, 0
589824, 0, 50827136, 3072, 55017472, 69206042, 62914584, 528128, 557056, 0, 55017500, 56623104
491546, 0, 393216, 52969472, 0, 65539072, 76005376, 425984, 55070336, 4608, 88080384, 4388
